,id,username,created_at,default_profile,default_profile_image,description,fast_followers_count,favourites_count,followers_count,friends_count,has_custom_timelines,is_translator,listed_count,location,media_count,name,normal_followers_count,pinned_tweet_ids_str,possibly_sensitive,profile_banner_url,profile_image_url_https,profile_interstitial_type,screen_name,statuses_count,translator_type,url,verified,verified_type
0,0,TimHortonsPH,Fri Nov 04 05:57:45 +0000 2016,FALSE,FALSE,"Welcome to the official account of Tim Hortons Philippines, where our tweets are always fresh.",0.0,981.0,2117.0,9.0,FALSE,FALSE,8.0,Republic of the Philippines,687.0,Tim Hortons Philippines,2117.0,1.51340867681585E+18,TRUE,https://pbs.twimg.com/profile_banners/794418334527668224/1649135205,https://pbs.twimg.com/profile_images/1084979174698151936/opxSAlOS_normal.jpg,,TimHortonsPH,933.0,none,https://t.co/x1O7FwcsFu,FALSE,
1,1,IndyMusic,Tue Nov 11 12:43:57 +0000 2008,FALSE,FALSE,"Music news, reviews, and feature stories from @Independent.",0.0,104.0,32394.0,594.0,FALSE,FALSE,603.0,London,4822.0,Independent Music,32394.0,1.04785484975537E+18,FALSE,https://pbs.twimg.com/profile_banners/17308878/1494238604,https://pbs.twimg.com/profile_images/591212959109623808/YYB51o7L_normal.png,,IndyMusic,28304.0,none,https://t.co/4tjQFWYC7v,FALSE,
2,2,CBCCanada,Wed Jan 14 03:42:38 +0000 2009,FALSE,FALSE,"Canadian news and features, and the Politics Bytes blog from CBCNews.ca",0.0,12.0,255212.0,5.0,FALSE,FALSE,2809.0,Canada,53557.0,CBC Canadian News,255212.0,,FALSE,https://pbs.twimg.com/profile_banners/18965790/1400592100,https://pbs.twimg.com/profile_images/468743413148307456/pPQ4QTwi_normal.jpeg,,CBCCanada,93719.0,none,http://t.co/YKrURZkMX6,FALSE,
3,3,MKWilliamsRome,Mon Aug 13 10:53:48 +0000 2012,FALSE,FALSE,"On the radio & TV & write about Italy, Europe & beyond for CBC. James Beard, UN & NYFests🏆Author Saving Rome. Insta@ megan.thee.italian. Tweets my own.🇮🇹🇨🇦",0.0,10844.0,7030.0,989.0,TRUE,FALSE,0.0,,1348.0,Megan Williams,7030.0,,TRUE,https://pbs.twimg.com/profile_banners/754914026/1688820054,https://pbs.twimg.com/profile_images/1718211362252279808/OQVbG4kh_normal.jpg,,MKWilliamsRome,5901.0,none,,FALSE,
4,4,BGISD,Thu Feb 26 21:06:29 +0000 2009,FALSE,FALSE,"Every day, accomplishments of students and employees provide evidence of the district’s motto: “Excellence is Worth the Effort.”",0.0,5090.0,7643.0,196.0,TRUE,FALSE,62.0,"Bowling Green, Kentucky",2114.0,Bowling Green Independent Schools,7643.0,,FALSE,https://pbs.twimg.com/profile_banners/22061998/1645548556,https://pbs.twimg.com/profile_images/1427991366840291329/u0MLcs70_normal.png,,BGISD,6897.0,none,https://t.co/eemenAElwG,FALSE,
5,5,cnni,Sat Mar 24 10:48:14 +0000 2007,FALSE,FALSE,"Breaking news from around the world, plus business, style, travel, sport and entertainment. We #gothere.",0.0,124.0,14750692.0,367.0,TRUE,FALSE,50859.0,Everywhere,113322.0,CNN International,14750692.0,,FALSE,https://pbs.twimg.com/profile_banners/2097571/1497863018,https://pbs.twimg.com/profile_images/1605231418208034816/3zypo5XV_normal.jpg,,cnni,299288.0,none,https://t.co/urFI1b80l2,FALSE,Business
6,6,IndependentNGR,Fri Mar 23 08:30:33 +0000 2012,FALSE,FALSE,"Official Twitter handle of Independent Newspapers Nigeria, the most read newspaper among the business and political elites.",0.0,358.0,58037.0,130.0,TRUE,FALSE,138.0,"Lagos, Nigeria",158296.0,Independent Nigeria,58037.0,,FALSE,https://pbs.twimg.com/profile_banners/534130932/1528721980,https://pbs.twimg.com/profile_images/968831466422534145/V7l9Lta7_normal.jpg,,IndependentNGR,499975.0,none,https://t.co/ORIpIQJ4Qa,FALSE,
7,7,CiscoCloud,Sun Feb 06 09:07:43 +0000 2011,FALSE,FALSE,Rethink cloud operations and simplify your hybrid IT world with Cisco Cloud Solutions. https://t.co/hI5f3Ikk4M,0.0,8344.0,33742.0,2729.0,TRUE,FALSE,486.0,Global,6346.0,Cisco Cloud,33742.0,,FALSE,https://pbs.twimg.com/profile_banners/248124298/1603897224,https://pbs.twimg.com/profile_images/1062363974820257792/qHvyEfNc_normal.jpg,,CiscoCloud,11798.0,regular,https://t.co/CEVvS6LJJw,FALSE,Business
8,8,GettyVIP,Tue Nov 02 20:57:20 +0000 2010,FALSE,FALSE,A view of entertainment and fashion events around the globe || For more of the world’s best images visit @GettyImages @GettyImagesNews @GettySport,0.0,903.0,38640.0,1213.0,TRUE,FALSE,398.0,Global,14380.0,Getty Images Entertainment,38640.0,,FALSE,https://pbs.twimg.com/profile_banners/211286498/1612139577,https://pbs.twimg.com/profile_images/1675922743265730560/3nYMXMlf_normal.jpg,,GettyVIP,21808.0,none,,FALSE,
9,9,McAfee,Mon Nov 02 23:24:41 +0000 2009,FALSE,FALSE,We make life online safe and enjoyable for everyone. For help 💻📱reach out to @McAfee_Help,0.0,4963.0,118352.0,352.0,TRUE,FALSE,1556.0,Worldwide,4831.0,McAfee,118352.0,,FALSE,https://pbs.twimg.com/profile_banners/87057197/1641284536,https://pbs.twimg.com/profile_images/1478277541429334016/aM14Gpyv_normal.png,,McAfee,16266.0,none,https://t.co/dWBrt8qZDx,FALSE,Business
